Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,571844,-,-,-,21.13,-101.66,-6,1825,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,
2015,1,1,0,0,0,0,0,0,0,0,0,9,168.27,0.163,3.5,1.705,85,100,11,820,N/A
2015,1,1,0,30,0,0,0,0,0,0,1,9,175,0.163,3.2,1.709,85,100,11,820,N/A
2015,1,1,1,0,0,0,0,0,0,0,7,9,177,0.163,2.9000000000000004,1.713,81.9,100,11,820,N/A
2015,1,1,1,30,0,0,0,0,0,0,8,9,170.54,0.163,2.7,1.724,81.9,100,10,820,N/A
2015,1,1,2,0,0,0,0,0,0,0,7,9,163.68,0.163,2.5,1.736,79.9,100,10,820,N/A
2015,1,1,2,30,0,0,0,0,0,0,7,9,156.78,0.163,2.4000000000000004,1.746,79.9,100,10,820,N/A
2015,1,1,3,0,0,0,0,0,0,0,7,9,149.88,0.163,2.3000000000000003,1.756,79.5,100,10,810,N/A
2015,1,1,3,30,0,0,0,0,0,0,7,9,143,0.163,2.1,1.758,79.5,100,10,810,N/A
2015,1,1,4,0,0,0,0,0,0,0,1,9,136.14000000000001,0.163,2,1.7610000000000001,81,100,10,810,N/A
2015,1,1,4,30,0,0,0,0,0,0,1,9,129.3,0.163,2,1.758,81,100,10,810,N/A
2015,1,1,5,0,0,0,0,0,0,0,7,9,122.51,0.163,2,1.7550000000000001,84.80000000000001,100,10,810,N/A
2015,1,1,5,30,0,0,0,0,0,0,7,9,115.77,0.163,1.9000000000000001,1.749,84.80000000000001,100,10,820,N/A
2015,1,1,6,0,0,0,0,0,0,0,7,9,109.08,0.163,1.8,1.743,91.10000000000001,100,10,820,N/A
2015,1,1,6,30,0,0,0,0,0,0,7,9,102.47,0.163,1.7000000000000002,1.737,91.10000000000001,100,10,820,N/A
2015,1,1,7,0,0,0,0,0,0,0,8,9,95.95,0.163,1.7000000000000002,1.731,97.60000000000001,100,10,820,N/A
2015,1,1,7,30,0,0,0,0,0,0,7,9,89.54,0.163,2.1,1.728,97.60000000000001,98.54,11,820,N/A
2015,1,1,8,0,37,325,75,43,298,78,7,9,83.28,0.163,2.5,1.726,106.30000000000001,93.3,12,820,N/A
2015,1,1,8,30,74,364,155,70,491,179,8,9,77.19,0.163,2.2,1.736,106.30000000000001,87.37,13,820,N/A
2015,1,1,9,0,116,382,239,84,635,288,7,10,71.33,0.163,2,1.746,136.3,79.63,15,820,N/A
2015,1,1,9,30,148,457,336,97,717,392,7,10,65.74,0.163,2,1.7690000000000001,136.3,74.65,16,820,N/A
2015,1,1,10,0,206,382,395,104,782,490,3,10,60.53,0.163,2,1.792,196.60000000000002,66.7,18,820,N/A
2015,1,1,10,30,112,823,575,112,823,575,1,10,55.78,0.163,2,1.819,196.60000000000002,62.620000000000005,19,820,N/A
2015,1,1,11,0,119,848,645,119,848,645,3,10,51.63,0.163,2.1,1.847,220.10000000000002,57.94,20,820,N/A
2015,1,1,11,30,247,579,633,123,868,701,7,10,48.24,0.163,2.1,1.872,220.10000000000002,57.910000000000004,20,820,N/A
2015,1,1,12,0,108,917,748,108,917,748,1,10,45.77,0.163,2.1,1.897,229.20000000000002,53.480000000000004,21,820,N/A
