Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,571844,-,-,-,21.13,-101.66,-6,1825,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,
2005,1,1,0,0,0,0,0,0,0,0,7,4,168.22,0.169,1,1.499,199,71.23,10,820,N/A
2005,1,1,0,30,0,0,0,0,0,0,1,4,174.96,0.169,0.9,1.532,199,76.2,9,820,N/A
2005,1,1,1,0,0,0,0,0,0,0,7,4,177.06,0.169,0.9,1.566,201.60000000000002,78.97,9,820,N/A
2005,1,1,1,30,0,0,0,0,0,0,7,4,170.59,0.169,0.7000000000000001,1.593,201.60000000000002,78.96000000000001,9,820,N/A
2005,1,1,2,0,0,0,0,0,0,0,0,5,163.73,0.169,0.6000000000000001,1.621,183.70000000000002,82.03,9,820,N/A
2005,1,1,2,30,0,0,0,0,0,0,7,5,156.83,0.169,0.6000000000000001,1.639,183.70000000000002,82.01,9,810,N/A
2005,1,1,3,0,0,0,0,0,0,0,7,5,149.93,0.169,0.7000000000000001,1.6580000000000001,143.9,83.99,9,810,N/A
2005,1,1,3,30,0,0,0,0,0,0,7,5,143.05,0.169,0.7000000000000001,1.672,143.9,83.99,9,810,N/A
2005,1,1,4,0,0,0,0,0,0,0,7,5,136.18,0.169,0.7000000000000001,1.687,128.1,84.79,9,810,N/A
2005,1,1,4,30,0,0,0,0,0,0,7,5,129.35,0.169,0.7000000000000001,1.699,128.1,84.81,9,820,N/A
2005,1,1,5,0,0,0,0,0,0,0,8,5,122.56,0.169,0.8,1.712,123.4,84.31,9,820,N/A
2005,1,1,5,30,0,0,0,0,0,0,7,5,115.81,0.169,0.8,1.722,123.4,90.27,8,820,N/A
2005,1,1,6,0,0,0,0,0,0,0,7,5,109.12,0.169,0.8,1.732,118.7,90.27,8,820,N/A
2005,1,1,6,30,0,0,0,0,0,0,7,5,102.51,0.169,0.8,1.741,118.7,90.29,8,820,N/A
