Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,571844,-,-,-,21.13,-101.66,-6,1825,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,
2017,1,1,0,0,0,0,0,0,0,0,3,7,168.22,0.163,1.3,2.005,307.20000000000005,86.2,11,810,N/A
2017,1,1,0,30,0,0,0,0,0,0,3,7,174.96,0.163,1.2000000000000002,1.999,307.20000000000005,92.16,10,810,N/A
2017,1,1,1,0,0,0,0,0,0,0,0,7,177.07,0.163,1.1,1.994,309.40000000000003,90.88,10,810,N/A
2017,1,1,1,30,0,0,0,0,0,0,0,7,170.6,0.163,1,1.981,309.40000000000003,90.86,10,810,N/A
2017,1,1,2,0,0,0,0,0,0,0,0,7,163.74,0.163,1,1.969,312.5,89.78,10,810,N/A
2017,1,1,2,30,0,0,0,0,0,0,0,7,156.84,0.163,1,1.953,312.5,96.03,9,810,N/A
2017,1,1,3,0,0,0,0,0,0,0,1,7,149.94,0.163,1,1.938,315.1,95.23,9,810,N/A
2017,1,1,3,30,0,0,0,0,0,0,0,7,143.05,0.163,1,1.922,315.1,95.23,9,810,N/A
2017,1,1,4,0,0,0,0,0,0,0,0,7,136.19,0.163,1,1.9060000000000001,319.20000000000005,94.63,9,810,N/A
2017,1,1,4,30,0,0,0,0,0,0,1,7,129.35,0.163,0.9,1.8900000000000001,319.20000000000005,94.63,9,810,N/A
2017,1,1,5,0,0,0,0,0,0,0,1,7,122.56,0.163,0.9,1.875,325.5,93.98,9,810,N/A
2017,1,1,5,30,0,0,0,0,0,0,7,7,115.81,0.163,0.8,1.863,325.5,94,9,810,N/A
2017,1,1,6,0,0,0,0,0,0,0,8,7,109.12,0.163,0.7000000000000001,1.852,333.40000000000003,93.56,9,810,N/A
2017,1,1,6,30,0,0,0,0,0,0,8,7,102.51,0.163,0.4,1.846,333.40000000000003,93.59,9,810,N/A
2017,1,1,7,0,0,0,0,0,0,0,7,7,95.99000000000001,0.163,0.2,1.841,359.40000000000003,87.7,10,810,N/A
2017,1,1,7,30,0,0,0,0,0,0,7,7,89.57000000000001,0.163,0.4,1.834,359.40000000000003,82.05,11,820,N/A
2017,1,1,8,0,44,117,58,39,361,82,8,7,83.31,0.163,0.7000000000000001,1.828,129.9,79.18,12,820,N/A
2017,1,1,8,30,90,187,132,61,559,185,8,7,77.22,0.163,1,1.828,129.9,74.14,14,820,N/A
2017,1,1,9,0,132,244,210,74,692,295,3,7,71.35000000000001,0.163,1.4000000000000001,1.828,222.60000000000002,64.28,16,820,N/A
2017,1,1,9,30,144,479,341,84,770,401,8,7,65.76,0.163,2,1.835,222.60000000000002,56.54,17,820,N/A
2017,1,1,10,0,91,827,498,91,827,498,1,6,60.54,0.163,2.7,1.842,245.70000000000002,46.94,19,820,N/A
2017,1,1,10,30,243,398,467,97,865,584,3,6,55.78,0.163,2.9000000000000004,1.85,245.70000000000002,46.93,20,820,N/A
2017,1,1,11,0,103,890,655,103,890,655,1,6,51.63,0.163,3.2,1.859,252.70000000000002,43.94,21,820,N/A
2017,1,1,11,30,106,909,712,106,909,712,1,6,48.22,0.163,3.3000000000000003,1.865,252.70000000000002,41.28,21,820,N/A
2017,1,1,12,0,103,932,753,103,932,753,1,6,45.74,0.163,3.5,1.872,257,38.74,22,810,N/A
2017,1,1,12,30,275,593,699,104,938,775,7,6,44.34,0.163,3.7,1.8760000000000001,257,38.72,22,810,N/A
2017,1,1,13,0,273,22,290,106,935,777,4,6,44.12,0.163,3.9000000000000004,1.881,258.8,38.34,22,810,N/A
2017,1,1,13,30,81,0,81,105,930,762,4,6,45.1,0.163,4,1.881,258.8,38.32,22,810,N/A
2017,1,1,14,0,89,0,89,104,920,729,4,6,47.2,0.163,4.1000000000000005,1.8820000000000001,259.7,37.84,23,810,N/A
2017,1,1,14,30,172,7,177,101,905,679,4,6,50.28,0.163,4,1.87,259.7,37.83,22,810,N/A
2017,1,1,15,0,115,0,115,89,901,616,4,5,54.18,0.163,4,1.859,257.90000000000003,36.99,22,810,N/A
2017,1,1,15,30,221,42,243,84,869,535,4,5,58.74,0.163,3.8000000000000003,1.842,257.90000000000003,39.33,21,810,N/A
2017,1,1,16,0,77,827,443,77,827,443,0,5,63.800000000000004,0.163,3.7,1.826,255.3,38.63,21,810,N/A
2017,1,1,16,30,69,764,339,69,764,339,3,5,69.26,0.163,2.9000000000000004,1.803,255.3,41.1,20,810,N/A
2017,1,1,17,0,58,670,231,58,670,231,1,6,75.04,0.163,2.2,1.7810000000000001,256.6,48.18,19,810,N/A
