Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,571844,-,-,-,21.13,-101.66,-6,1825,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,
2002,1,1,0,0,0,0,0,0,0,0,0,3,168.25,0.171,1.8,0.93,238.20000000000002,77.02,8,810,N/A
2002,1,1,0,30,0,0,0,0,0,0,0,3,174.98,0.171,1.7000000000000002,0.921,238.20000000000002,82.49,7,810,N/A
2002,1,1,1,0,0,0,0,0,0,0,0,3,177.03,0.171,1.6,0.912,241.5,83.58,7,810,N/A
2002,1,1,1,30,0,0,0,0,0,0,0,3,170.56,0.171,1.5,0.901,241.5,89.56,7,810,N/A
2002,1,1,2,0,0,0,0,0,0,0,0,3,163.70000000000002,0.171,1.4000000000000001,0.891,246.20000000000002,89.51,7,810,N/A
2002,1,1,2,30,0,0,0,0,0,0,0,3,156.81,0.171,1.2000000000000002,0.881,246.20000000000002,89.5,6,810,N/A
2002,1,1,3,0,0,0,0,0,0,0,0,3,149.91,0.171,1.2000000000000002,0.871,252.3,87.96000000000001,6,810,N/A
2002,1,1,3,30,0,0,0,0,0,0,0,3,143.02,0.171,1.1,0.861,252.3,87.95,6,810,N/A
2002,1,1,4,0,0,0,0,0,0,0,0,2,136.16,0.171,1.1,0.852,254.60000000000002,85.47,6,810,N/A
2002,1,1,4,30,0,0,0,0,0,0,0,2,129.33,0.171,1,0.838,254.60000000000002,85.47,6,810,N/A
2002,1,1,5,0,0,0,0,0,0,0,0,2,122.53,0.171,1,0.8250000000000001,248.4,83.11,6,810,N/A
2002,1,1,5,30,0,0,0,0,0,0,0,2,115.79,0.171,0.9,0.809,248.4,83.12,6,810,N/A
2002,1,1,6,0,0,0,0,0,0,0,0,2,109.10000000000001,0.171,0.8,0.794,231.5,82.42,6,810,N/A
2002,1,1,6,30,0,0,0,0,0,0,1,2,102.49000000000001,0.171,0.7000000000000001,0.779,231.5,82.44,6,810,N/A
2002,1,1,7,0,0,0,0,0,0,0,7,2,95.97,0.171,0.6000000000000001,0.764,205.20000000000002,84.16,6,810,N/A
2002,1,1,7,30,0,0,0,0,0,0,7,2,89.56,0.171,0.6000000000000001,0.75,205.20000000000002,78.56,7,810,N/A
2002,1,1,8,0,40,217,66,29,565,95,7,3,83.29,0.171,0.7000000000000001,0.737,169.60000000000002,73.28,9,810,N/A
2002,1,1,8,30,42,749,208,42,749,208,1,3,77.21000000000001,0.171,0.7000000000000001,0.727,169.60000000000002,68.51,10,810,N/A
2002,1,1,9,0,49,857,324,49,857,324,0,3,71.34,0.171,0.8,0.718,185.60000000000002,59.58,12,810,N/A
2002,1,1,9,30,55,922,434,55,922,434,1,3,65.76,0.171,1.9000000000000001,0.715,185.60000000000002,52.24,14,810,N/A
2002,1,1,10,0,190,464,418,59,967,535,3,1,60.54,0.171,3,0.713,235.60000000000002,37.88,17,810,N/A
2002,1,1,10,30,63,997,624,63,997,624,0,1,55.79,0.171,3.2,0.714,235.60000000000002,35.54,18,810,N/A
2002,1,1,11,0,65,1018,698,65,1018,698,0,0,51.64,0.171,3.4000000000000004,0.715,246.70000000000002,29.22,19,810,N/A
2002,1,1,11,30,67,1033,755,67,1033,755,0,0,48.24,0.171,3.4000000000000004,0.716,246.70000000000002,27.43,20,810,N/A
2002,1,1,12,0,67,1044,796,67,1044,796,0,-1,45.77,0.171,3.5,0.718,252.10000000000002,23.03,21,810,N/A
2002,1,1,12,30,68,1049,818,68,1049,818,0,-1,44.37,0.171,3.6,0.72,252.10000000000002,23.02,21,810,N/A
2002,1,1,13,0,68,1050,821,68,1050,821,0,-2,44.15,0.171,3.7,0.722,251.4,21.1,22,810,N/A
2002,1,1,13,30,67,1046,806,67,1046,806,0,-2,45.14,0.171,3.8000000000000003,0.722,251.4,21.09,22,810,N/A
2002,1,1,14,0,65,1040,772,65,1040,772,0,-3,47.24,0.171,3.9000000000000004,0.723,249.70000000000002,18.72,22,810,N/A
2002,1,1,14,30,64,1028,720,64,1028,720,0,-3,50.33,0.171,3.9000000000000004,0.72,249.70000000000002,18.72,22,810,N/A
2002,1,1,15,0,61,1009,652,61,1009,652,0,-4,54.230000000000004,0.171,4,0.717,249.4,18.13,22,810,N/A
2002,1,1,15,30,58,984,568,58,984,568,0,-4,58.78,0.171,3.9000000000000004,0.71,249.4,19.28,21,810,N/A
2002,1,1,16,0,54,948,472,54,948,472,0,-4,63.85,0.171,3.8000000000000003,0.7030000000000001,249.10000000000002,18.97,21,810,N/A
2002,1,1,16,30,49,894,365,49,894,365,0,-4,69.31,0.171,2.8000000000000003,0.6940000000000001,249.10000000000002,21.490000000000002,19,810,N/A
2002,1,1,17,0,42,811,251,42,811,251,0,0,75.08,0.171,1.9000000000000001,0.686,248.20000000000002,35.17,18,810,N/A
2002,1,1,17,30,32,668,136,32,668,136,0,0,81.10000000000001,0.171,1.7000000000000002,0.68,248.20000000000002,39.99,15,810,N/A
2002,1,1,18,0,16,383,34,16,383,34,0,1,87.31,0.171,1.5,0.675,243.10000000000002,47.14,13,810,N/A
2002,1,1,18,30,0,0,0,0,0,0,0,1,93.67,0.171,1.5,0.678,243.10000000000002,50.370000000000005,12,810,N/A
2002,1,1,19,0,0,0,0,0,0,0,0,0,100.15,0.171,1.5,0.682,233.8,48.67,12,810,N/A
2002,1,1,19,30,0,0,0,0,0,0,0,0,106.74000000000001,0.171,1.6,0.6980000000000001,233.8,52.03,11,810,N/A
2002,1,1,20,0,0,0,0,0,0,0,0,0,113.4,0.171,1.7000000000000002,0.714,224,51.88,11,810,N/A
2002,1,1,20,30,0,0,0,0,0,0,0,0,120.12,0.171,1.8,0.743,224,55.49,10,810,N/A
2002,1,1,21,0,0,0,0,0,0,0,0,0,126.9,0.171,1.9000000000000001,0.772,219.5,56.78,10,810,N/A
2002,1,1,21,30,0,0,0,0,0,0,0,0,133.72,0.171,2,0.799,219.5,60.75,9,810,N/A
2002,1,1,22,0,0,0,0,0,0,0,0,1,140.58,0.171,2.1,0.8270000000000001,218.5,63.42,9,810,N/A
2002,1,1,22,30,0,0,0,0,0,0,0,1,147.46,0.171,2.1,0.839,218.5,67.89,8,810,N/A
2002,1,1,23,0,0,0,0,0,0,0,0,2,154.36,0.171,2.2,0.852,219.20000000000002,71.66,8,810,N/A
2002,1,1,23,30,0,0,0,0,0,0,0,2,161.26,0.171,2,0.852,219.20000000000002,76.76,7,810,N/A
2002,1,2,0,0,0,0,0,0,0,0,0,2,168.15,0.171,1.9000000000000001,0.853,223.20000000000002,80.71000000000001,7,810,N/A
2002,1,2,0,30,0,0,0,0,0,0,0,2,174.91,0.171,1.7000000000000002,0.84,223.20000000000002,80.71000000000001,7,810,N/A
2002,1,2,1,0,0,0,0,0,0,0,0,3,177.17000000000002,0.171,1.5,0.8280000000000001,228,83.85000000000001,7,810,N/A
2002,1,2,1,30,0,0,0,0,0,0,0,3,170.68,0.171,1.3,0.807,228,89.85000000000001,6,810,N/A
2002,1,2,2,0,0,0,0,0,0,0,7,3,163.82,0.171,1.2000000000000002,0.787,230.5,91.61,6,810,N/A
2002,1,2,2,30,0,0,0,0,0,0,7,3,156.91,0.171,1.1,0.766,230.5,91.60000000000001,6,810,N/A
2002,1,2,3,0,0,0,0,0,0,0,7,3,150.01,0.171,1.1,0.745,227.9,92.19,6,810,N/A
2002,1,2,3,30,0,0,0,0,0,0,7,3,143.12,0.171,1,0.725,227.9,92.19,6,810,N/A
2002,1,2,4,0,0,0,0,0,0,0,0,3,136.26,0.171,1,0.706,217.20000000000002,92.2,6,810,N/A
2002,1,2,4,30,0,0,0,0,0,0,0,3,129.42000000000002,0.171,0.9,0.6890000000000001,217.20000000000002,92.21000000000001,6,810,N/A
2002,1,2,5,0,0,0,0,0,0,0,0,3,122.62,0.171,0.9,0.673,194.4,92.87,6,810,N/A
2002,1,2,5,30,0,0,0,0,0,0,0,3,115.87,0.171,0.9,0.658,194.4,99.61,5,810,N/A
2002,1,2,6,0,0,0,0,0,0,0,0,4,109.18,0.171,0.9,0.644,158.60000000000002,100,5,810,N/A
2002,1,2,6,30,0,0,0,0,0,0,0,2,102.57000000000001,0.171,0.9,0.629,158.60000000000002,100,5,810,N/A
2002,1,2,7,0,0,0,0,0,0,0,0,2,96.04,0.171,1,0.614,133.1,100,5,810,N/A
2002,1,2,7,30,0,0,0,0,0,0,0,4,89.62,0.171,1.4000000000000001,0.598,133.1,96.12,6,810,N/A
2002,1,2,8,0,29,583,96,29,583,96,0,4,83.35000000000001,0.171,1.8,0.582,123.60000000000001,85.83,8,810,N/A
2002,1,2,8,30,41,767,210,41,767,210,0,4,77.25,0.171,1.8,0.5640000000000001,123.60000000000001,74.96000000000001,10,810,N/A
2002,1,2,9,0,46,884,328,46,884,328,0,4,71.38,0.171,1.9000000000000001,0.547,147.20000000000002,62.940000000000005,12,820,N/A
2002,1,2,9,30,51,947,439,51,947,439,0,4,65.79,0.171,2.2,0.536,147.20000000000002,55.19,14,820,N/A
2002,1,2,10,0,52,995,541,52,995,541,0,0,60.56,0.171,2.5,0.525,203.8,32.3,17,820,N/A
2002,1,2,10,30,55,1024,631,55,1024,631,0,0,55.79,0.171,2.6,0.518,203.8,30.3,18,810,N/A
2002,1,2,11,0,57,1045,706,57,1045,706,0,-3,51.620000000000005,0.171,2.8000000000000003,0.511,224.9,22.52,19,810,N/A
2002,1,2,11,30,58,1060,765,58,1060,765,0,-3,48.21,0.171,3,0.505,224.9,22.51,20,810,N/A
2002,1,2,12,0,62,1066,807,62,1066,807,0,-5,45.71,0.171,3.3000000000000003,0.5,235.10000000000002,18.580000000000002,21,810,N/A
2002,1,2,12,30,63,1071,830,63,1071,830,0,-5,44.29,0.171,3.5,0.498,235.10000000000002,17.45,21,810,N/A
2002,1,2,13,0,63,1072,833,63,1072,833,0,-6,44.06,0.171,3.7,0.497,241.4,14.98,22,810,N/A
2002,1,2,13,30,63,1069,818,63,1069,818,0,-6,45.03,0.171,3.8000000000000003,0.495,241.4,14.98,22,810,N/A
2002,1,2,14,0,62,1061,784,62,1061,784,0,-7,47.12,0.171,4,0.494,244.20000000000002,14.07,22,810,N/A
2002,1,2,14,30,61,1049,733,61,1049,733,0,-7,50.2,0.171,4,0.493,244.20000000000002,14.07,22,810,N/A
2002,1,2,15,0,59,1031,664,59,1031,664,0,-7,54.09,0.171,4.1000000000000005,0.493,244.9,13.67,22,810,N/A
2002,1,2,15,30,56,1005,579,56,1005,579,0,-7,58.64,0.171,3.9000000000000004,0.496,244.9,14.540000000000001,21,810,N/A
2002,1,2,16,0,53,968,482,53,968,482,0,-8,63.71,0.171,3.8000000000000003,0.5,244.3,14.370000000000001,21,810,N/A
2002,1,2,16,30,48,915,373,48,915,373,0,-8,69.17,0.171,2.8000000000000003,0.506,244.3,16.28,19,810,N/A
2002,1,2,17,0,42,832,258,42,832,258,0,-1,74.94,0.171,1.8,0.513,241.3,31.3,17,810,N/A
2002,1,2,17,30,32,692,141,32,692,141,0,-1,80.96000000000001,0.171,1.6,0.52,241.3,37.99,14,810,N/A
2002,1,2,18,0,16,409,36,16,409,36,0,0,87.17,0.171,1.5,0.528,231.8,43.89,12,810,N/A
2002,1,2,18,30,0,0,0,0,0,0,0,0,93.54,0.171,1.5,0.536,231.8,46.92,11,810,N/A
2002,1,2,19,0,0,0,0,0,0,0,0,-1,100.02,0.171,1.6,0.544,220.20000000000002,44.75,11,810,N/A
2002,1,2,19,30,0,0,0,0,0,0,0,-1,106.61,0.171,1.6,0.554,220.20000000000002,47.870000000000005,10,810,N/A
2002,1,2,20,0,0,0,0,0,0,0,0,-1,113.27,0.171,1.7000000000000002,0.5640000000000001,211.5,46.79,10,810,N/A
2002,1,2,20,30,0,0,0,0,0,0,0,-1,120,0.171,1.7000000000000002,0.5750000000000001,211.5,50.07,9,810,N/A
2002,1,2,21,0,0,0,0,0,0,0,0,-1,126.78,0.171,1.8,0.587,205.60000000000002,50.1,9,820,N/A
2002,1,2,21,30,0,0,0,0,0,0,0,-1,133.61,0.171,1.8,0.598,205.60000000000002,53.620000000000005,8,820,N/A
2002,1,2,22,0,0,0,0,0,0,0,0,-1,140.46,0.171,1.8,0.609,202.10000000000002,54.81,8,820,N/A
2002,1,2,22,30,0,0,0,0,0,0,0,-1,147.35,0.171,1.7000000000000002,0.619,202.10000000000002,58.7,7,810,N/A
2002,1,2,23,0,0,0,0,0,0,0,0,0,154.25,0.171,1.7000000000000002,0.63,201.70000000000002,60.85,7,810,N/A
2002,1,2,23,30,0,0,0,0,0,0,0,0,161.16,0.171,1.5,0.641,201.70000000000002,65.2,6,810,N/A
2002,1,3,0,0,0,0,0,0,0,0,0,0,168.05,0.171,1.4000000000000001,0.652,200.9,66.63,6,810,N/A
2002,1,3,0,30,0,0,0,0,0,0,0,0,174.84,0.171,1.2000000000000002,0.66,200.9,71.45,6,810,N/A
2002,1,3,1,0,0,0,0,0,0,0,0,0,177.31,0.171,1.2000000000000002,0.669,201.9,71.68,6,810,N/A
2002,1,3,1,30,0,0,0,0,0,0,0,0,170.8,0.171,1,0.675,201.9,71.68,6,810,N/A
2002,1,3,2,0,0,0,0,0,0,0,0,0,163.93,0.171,0.9,0.681,207.70000000000002,71.32000000000001,6,810,N/A
2002,1,3,2,30,0,0,0,0,0,0,0,0,157.02,0.171,0.4,0.683,207.70000000000002,71.32000000000001,5,810,N/A
2002,1,3,3,0,0,0,0,0,0,0,0,0,150.11,0.171,0,0.685,134.20000000000002,71.4,5,810,N/A
2002,1,3,3,30,0,0,0,0,0,0,0,0,143.22,0.171,0.4,0.68,134.20000000000002,76.62,4,810,N/A
2002,1,3,4,0,0,0,0,0,0,0,0,0,136.35,0.171,0.8,0.675,69,76.92,4,810,N/A
2002,1,3,4,30,0,0,0,0,0,0,0,0,129.51,0.171,0.9,0.663,69,82.59,3,820,N/A
2002,1,3,5,0,0,0,0,0,0,0,0,0,122.71000000000001,0.171,1,0.651,85.7,82.86,3,820,N/A
2002,1,3,5,30,0,0,0,0,0,0,0,0,115.95,0.171,1.1,0.636,85.7,82.88,3,820,N/A
2002,1,3,6,0,0,0,0,0,0,0,0,0,109.26,0.171,1.2000000000000002,0.622,99.30000000000001,82.54,3,820,N/A
2002,1,3,6,30,0,0,0,0,0,0,0,0,102.64,0.171,1.2000000000000002,0.609,99.30000000000001,82.56,3,820,N/A
2002,1,3,7,0,0,0,0,0,0,0,0,0,96.11,0.171,1.3,0.596,107.4,82.79,3,820,N/A
2002,1,3,7,30,0,0,0,0,0,0,0,0,89.68,0.171,2,0.586,107.4,71.9,5,820,N/A
2002,1,3,8,0,27,596,96,27,596,96,0,0,83.41,0.171,2.7,0.577,109.5,66.54,7,820,N/A
2002,1,3,8,30,39,777,210,39,777,210,0,0,77.3,0.171,2.5,0.5680000000000001,109.5,58.04,9,820,N/A
2002,1,3,9,0,46,880,327,46,880,327,0,0,71.41,0.171,2.4000000000000004,0.56,127.7,49.77,11,820,N/A
2002,1,3,9,30,52,944,438,52,944,438,0,0,65.81,0.171,2.5,0.552,127.7,43.59,13,820,N/A
2002,1,3,10,0,54,989,540,54,989,540,0,-2,60.57,0.171,2.8000000000000003,0.545,175.60000000000002,29.25,16,820,N/A
2002,1,3,10,30,58,1018,630,58,1018,630,0,-2,55.79,0.171,3,0.54,175.60000000000002,27.43,17,820,N/A
2002,1,3,11,0,60,1039,705,60,1039,705,0,-5,51.6,0.171,3.2,0.536,196.5,20.23,19,820,N/A
2002,1,3,11,30,61,1054,764,61,1054,764,0,-5,48.17,0.171,3.3000000000000003,0.533,196.5,20.21,19,820,N/A
2002,1,3,12,0,62,1064,806,62,1064,806,0,-6,45.65,0.171,3.5,0.531,211.4,17.69,20,820,N/A
2002,1,3,12,30,62,1068,829,62,1068,829,0,-6,44.21,0.171,3.6,0.532,211.4,17.68,20,820,N/A
